Subject,Start Date,Start Time,End Date,End Time
Language Laboratory,30/01/2017,08:00:00 AM,30/01/2017,11:00:00 AM
Operating Systems,30/01/2017,11:00:00 AM,30/01/2017,12:00:00 PM
Electrical and Electronic Measurement,30/01/2017,01:15:00 PM,30/01/2017,02:15:00 PM
Electrical Machines,30/01/2017,02:15:00 PM,30/01/2017,03:15:00 PM
Mathematics – IV,30/01/2017,03:15:00 PM,30/01/2017,04:15:00 PM
Digital Electronics,30/01/2017,04:15:00 PM,30/01/2017,05:15:00 PM
Electrical Engineering Laboratory,31/01/2017,08:00:00 AM,31/01/2017,11:00:00 AM
Operating Systems,31/01/2017,11:00:00 AM,31/01/2017,12:00:00 PM
Electrical Machines,31/01/2017,01:15:00 PM,31/01/2017,02:15:00 PM
Mathematics – IV,31/01/2017,02:15:00 PM,31/01/2017,03:15:00 PM
Digital Electronics,31/01/2017,04:15:00 PM,31/01/2017,05:15:00 PM
Electrical Machines (Tutorial),32/01/2017,10:00:00 AM,32/01/2017,11:00:00 AM
Mathematics – IV (Tutorial),32/01/2017,11:00:00 AM,32/01/2017,12:00:00 PM
Analog Electronics Laboratory,32/01/2017,02:15:00 PM,32/01/2017,05:15:00 PM
Digital Electronics Laboratory,33/01/2017,08:00:00 AM,33/01/2017,11:00:00 AM
Mathematics – IV,33/01/2017,01:15:00 PM,33/01/2017,02:15:00 PM
Electrical and Electronic Measurement,33/01/2017,03:15:00 PM,33/01/2017,04:15:00 PM
Digital Electronics,33/01/2017,04:15:00 PM,33/01/2017,05:15:00 PM
Operating Systems,34/01/2017,11:00:00 AM,34/01/2017,12:00:00 PM
Electrical and Electronic Measurement,34/01/2017,02:15:00 PM,34/01/2017,03:15:00 PM
Electrical Machines,34/01/2017,03:15:00 PM,34/01/2017,04:15:00 PM
